id	image_filename	mask_filename	match_type
AH091208per115_CNP	AH091208per115_CNP.JPG	AH091208per115_CNP.tiff	exact
AH091208per115_CP	AH091208per115_CP.JPG	AH091208per115_CP.tiff	exact
BW091608per120_CNP	BW091608per120_CNP.JPG	BW091608per120_CNP.tiff	exact
DA100608per145_CP	DA100608per145_CP.JPG	DA100608per145_CP.tiff	exact
DA100608per146_CP	DA100608per146_CP.JPG	DA100608per146_CP.tiff	exact
DS_0100053	DS_0100053.jpg	DS_0100053.tiff	exact
DS_0100241	DS_0100241.jpg	DS_0100241.tiff	exact
DS_0100457	DS_0100457.jpg	DS_0100457.tiff	exact
DS_0100459	DS_0100459.jpg	DS_0100459.tiff	exact
DS_0100933	DS_0100933.jpg	DS_0100933.tiff	exact
DS_0101043	DS_0101043.jpg	DS_0101043.tiff	exact
DS_0101252	DS_0101252.jpg	DS_0101252.tiff	exact
DS_0101268	DS_0101268.jpg	DS_0101268.tiff	exact
DS_0101288	DS_0101288.jpg	DS_0101288.tiff	exact
DS_0101293	DS_0101293.jpg	DS_0101293.tiff	exact
DS_0101603	DS_0101603.jpg	DS_0101603.tiff	exact
DS_0101615	DS_0101615.jpg	DS_0101615.tiff	exact
DS_0102144	DS_0102144.jpg	DS_0102144.tiff	exact
DS_0102299	DS_0102299.jpg	DS_0102299.tiff	exact
DS_0102389	DS_0102389.jpg	DS_0102389.tiff	exact
DS_0102424	DS_0102424.jpg	DS_0102424.tiff	exact
DS_0102559	DS_0102559.jpg	DS_0102559.tiff	exact
DS_0102784	DS_0102784.jpg	DS_0102784.tiff	exact
DS_0103201	DS_0103201.jpg	DS_0103201.tiff	exact
DS_0103302	DS_0103302.jpg	DS_0103302.tiff	exact
DS_0103316	DS_0103316.jpg	DS_0103316.tiff	exact
DS_0103398	DS_0103398.jpg	DS_0103398.tiff	exact
DS_0103406	DS_0103406.jpg	DS_0103406.tiff	exact
DS_0103512	DS_0103512.jpg	DS_0103512.tiff	exact
DS_0103579	DS_0103579.jpg	DS_0103579.tiff	exact
DS_0103645	DS_0103645.jpg	DS_0103645.tiff	exact
DS_0103852	DS_0103852.jpg	DS_0103852.tiff	exact
DS_0103917	DS_0103917.jpg	DS_0103917.tiff	exact
DS_0104075	DS_0104075.jpg	DS_0104075.tiff	exact
DS_0104138	DS_0104138.jpg	DS_0104138.tiff	exact
DS_0104274	DS_0104274.jpg	DS_0104274.tif	exact
DS_0104398	DS_0104398.jpg	DS_0104398.tif	exact
DS_0104687	DS_0104687.jpg	DS_0104687.tif	exact
DS_0104863	DS_0104863.jpg	DS_0104863.tif	exact
DS_0105185	DS_0105185.jpg	DS_0105185.tif	exact
DS_0105219	DS_0105219.jpg	DS_0105219.tif	exact
DS_0105273	DS_0105273.jpg	DS_0105273.tif	exact
DS_0105532	DS_0105532.jpg	DS_0105532.tif	exact
DS_0105578	DS_0105578.jpg	DS_0105578.tif	exact
DS_0105594	DS_0105594.jpg	DS_0105594.tif	exact
DS_0105826	DS_0105826.jpg	DS_0105826.tif	exact
DS_0105865	DS_0105865.jpg	DS_0105865.tif	exact
DS_0105886	DS_0105886.jpg	DS_0105886.tif	exact
